char1 char2 categories default_score modifier score
a à [Visual,Semantic,] 0.9 0.0 0.9
a æ [Visual,Semantic,] 0.9 0.0 0.9
a α [Alphabet,] 0.6 0.0 0.6
b β [Alphabet,] 0.6 0.0 0.6
c ¸d [Use,] 0.7 -0.1 0.6
c © [Visual,Semantic,] 0.9 -0.1 0.8
c ¢ [Visual,] 0.5 0.0 0.5
c ç [Visual,Semantic,] 0.9 0.0 0.9
c χ [Alphabet,] 0.6 0.0 0.6
d ð [Alphabet,] 0.6 0.0 0.6
d δ [Alphabet,] 0.6 0.0 0.6
e € [Use,Phonetic,] 0.7 0.0 0.7
e é [Visual,Semantic,] 0.9 0.0 0.9
e è [Visual,Semantic,] 0.9 0.0 0.9
e ə [Visual,Alphabet,] 0.6 0.0 0.6
e ε [Alphabet,] 0.6 0.0 0.6
e η [Alphabet,] 0.6 0.0 0.6
f φ [Alphabet,] 0.6 0.0 0.6
g γ [Alphabet,] 0.6 0.0 0.6
i ĳ [Visual,Semantic,] 0.9 -0.2 0.7
i ı [Alphabet,] 0.6 0.0 0.6
i ι [Alphabet,] 0.6 0.0 0.6
j ʒ [Phonetic,] 0.4 0.0 0.4
k κ [Alphabet,] 0.6 0.0 0.6
l λ [Alphabet,] 0.6 0.0 0.6
m μ [Alphabet,] 0.6 -0.1 0.5
n ~d [Use,] 0.7 0.0 0.7
g ŋ [Visual,Phonetic,] 0.5 0.0 0.5
n ν [Alphabet,] 0.6 0.0 0.6
o œ [Visual,Semantic,] 0.9 0.0 0.9
o ο [Alphabet,] 0.6 0.0 0.6
o ω [Alphabet,] 0.6 0.0 0.6
p π [Alphabet,] 0.6 0.0 0.6
p ψ [Alphabet,] 0.6 0.0 0.6
r ® [Visual,Semantic,] 0.9 -0.1 0.8
r √ [Phonetic,] 0.4 0.0 0.4
r ρ [Alphabet,] 0.6 0.0 0.6
q ſ [Alphabet,] 0.6 -0.2 0.39999999999999997
s ß [Alphabet,] 0.6 0.0 0.6
s σ [Alphabet,] 0.6 0.0 0.6
t þ [Alphabet,] 0.6 0.0 0.6
t θ [Alphabet,] 0.6 0.0 0.6
t τ [Alphabet,] 0.6 0.0 0.6
u ù [Visual,Semantic,] 0.9 0.0 0.9
u υ [Alphabet,] 0.6 0.0 0.6
w ₩ [Visual,] 0.5 0.0 0.5
x ξ [Alphabet,] 0.6 0.0 0.6
x χ [Alphabet,] 0.6 0.0 0.6
y ¥ [Visual,] 0.5 0.0 0.5
z ζ [Alphabet,] 0.6 0.0 0.6
e ê [Visual,Semantic,] 0.9 0.0 0.9
t ™ [Visual,Semantic,] 0.9 -0.1 0.8
j ĳ [Visual,Semantic,] 0.9 0.0 0.9
2 ½ [Visual,] 0.5 0.0 0.5
3 ¾ [Visual,] 0.5 0.0 0.5
4 ¼ [Visual,] 0.5 0.0 0.5
8 ∞ [Visual,] 0.5 0.0 0.5
_ - [Visual,Use,] 0.7 0.0 0.7
_ _d [Visual,] 0.5 0.0 0.5
- ‑ [Visual,Group,] 0.6 0.0 0.6
- – [Visual,Group,] 0.6 0.0 0.6
- — [Visual,Group,] 0.6 0.0 0.6
- + [Group,] 0.6 0.0 0.6
- -d [Visual,] 0.5 0.0 0.5
, ; [Visual,Group,] 0.6 0.0 0.6
, . [Visual,Group,] 0.6 -0.1 0.5
, ,d [Visual,] 0.5 0.0 0.5
; : [Visual,Group,] 0.6 0.0 0.6
; . [Visual,Group,Use,] 0.7 0.0 0.7
! ¡ [Completion,] 0.9 0.0 0.9
! ? [Visual,Group,] 0.6 0.0 0.6
! . [Group,] 0.6 -0.1 0.5
? ¿ [Completion,] 0.9 0.0 0.9
? . [Group,] 0.6 -0.1 0.5
. … [Visual,Group,] 0.6 0.0 0.6
. · [Visual,Use,] 0.7 0.0 0.7
· × [Semantic,] 0.9 -0.1 0.8
' ‘ [Visual,] 0.5 -0.1 0.4
' " [Visual,Semantic,] 0.9 0.0 0.9
' ´d [Visual,] 0.5 -0.1 0.4
‘ ’ [Completion,] 0.9 0.0 0.9
‘ ‚ [Completion,] 0.9 -0.1 0.8
‘ “ [Visual,Group,Semantic,] 0.9 -0.1 0.8
’ ” [Visual,Group,] 0.6 0.0 0.6
‚ „ [Visual,Group,Semantic,] 0.9 -0.1 0.8
‹ › [Completion,] 0.9 0.0 0.9
‹ « [Visual,Group,Semantic,] 0.9 -0.1 0.8
› » [Visual,Semantic,] 0.9 0.0 0.9
" “ [Visual,] 0.5 -0.1 0.4
" « [Visual,] 0.5 -0.1 0.4
" ¨d [Visual,] 0.5 -0.1 0.4
“ ” [Completion,] 0.9 0.0 0.9
“ „ [Completion,] 0.9 -0.1 0.8
“ « [Group,] 0.6 0.0 0.6
” » [Group,] 0.6 0.0 0.6
« » [Completion,] 0.9 0.0 0.9
( ) [Completion,] 0.9 0.0 0.9
( [ [Visual,Group,] 0.6 0.0 0.6
( { [Visual,Group,] 0.6 0.0 0.6
) ] [Visual,Group,] 0.6 0.0 0.6
) } [Visual,Group,] 0.6 0.0 0.6
[ ] [Completion,] 0.9 0.0 0.9
[ { [Visual,Group,] 0.6 0.0 0.6
] } [Visual,Group,] 0.6 0.0 0.6
{ } [Completion,] 0.9 0.0 0.9
* × [Semantic,] 0.9 0.0 0.9
/ \ [Completion,] 0.9 0.0 0.9
/ ÷ [Semantic,] 0.9 -0.1 0.8
/ /d [Visual,] 0.5 0.0 0.5
% ‰ [Visual,Semantic,] 0.9 0.0 0.9
† ‡ [Completion,] 0.9 0.0 0.9
~d ~ [Visual,Use,] 0.7 0.0 0.7
^ ^d [Visual,Use,] 0.7 0.0 0.7
˘d ˇd [Visual,Group,] 0.6 -0.1 0.5
˘d ̑d [Visual,Group,] 0.6 -0.1 0.5
˙d .d [Visual,Group,] 0.6 -0.1 0.5
¨d ^d [Visual,Group,Use,] 0.7 -0.1 0.6
˝d ˵d [Visual,Group,] 0.6 -0.1 0.5
¸d ˛d [Visual,Group,] 0.6 -0.1 0.5
¸d ç [Visual,Semantic,] 0.9 -0.1 0.8
^d ˋd [Visual,Group,] 0.6 -0.1 0.5
ˉd _d [Visual,Group,] 0.6 -0.1 0.5
´d ˋd [Visual,Use,] 0.7 0.0 0.7
´d é [Visual,] 0.5 0.0 0.5
ˋd à [Visual,] 0.5 0.0 0.5
ˋd è [Visual,] 0.5 0.0 0.5
ˋd ù [Visual,] 0.5 0.0 0.5
° °d [Visual,] 0.5 0.0 0.5
° º [Visual,] 0.5 0.0 0.5
+ ± [Visual,] 0.5 0.0 0.5
÷ × [Visual,Group,] 0.6 0.0 0.6
< = [Group,] 0.6 -0.1 0.5
< > [Completion,] 0.9 0.0 0.9
< ≤ [Semantic,] 0.9 0.0 0.9
= ≠ [Completion,] 0.9 0.0 0.9
= ≃ [Visual,Semantic,] 0.9 0.0 0.9
> ≥ [Semantic,] 0.9 0.0 0.9
~ ≃ [Visual,Group,] 0.6 0.0 0.6
≤ ≥ [Completion,] 0.9 0.0 0.9
¤ € [Group,] 0.6 -0.2 0.39999999999999997
¢ € [Group,] 0.6 -0.2 0.39999999999999997
$ € [Group,] 0.6 -0.2 0.39999999999999997
£ € [Group,] 0.6 -0.2 0.39999999999999997
¥ € [Group,] 0.6 -0.2 0.39999999999999997
₩ € [Group,] 0.6 -0.2 0.39999999999999997
½ ¼ [Visual,Semantic,] 0.9 0.0 0.9
½ ¾ [Visual,Semantic,] 0.9 0.0 0.9
¼ ¾ [Visual,Semantic,] 0.9 0.0 0.9
ª º [Group,Visual,] 0.6 0.0 0.6
À à [Caps,] 1.0 0.0 1.0
Æ æ [Caps,] 1.0 0.0 1.0
Ç ç [Caps,] 1.0 0.0 1.0
Ù ù [Caps,] 1.0 0.0 1.0
Ð ð [Caps,] 1.0 0.0 1.0
É é [Caps,] 1.0 0.0 1.0
È è [Caps,] 1.0 0.0 1.0
Ə ə [Caps,] 1.0 0.0 1.0
İ ı [Caps,] 1.0 0.0 1.0
Ĳ ĳ [Caps,] 1.0 0.0 1.0
Ŋ ŋ [Caps,] 1.0 0.0 1.0
Œ œ [Caps,] 1.0 0.0 1.0
ẞ ß [Caps,] 1.0 0.0 1.0
Ʒ ʒ [Caps,] 1.0 0.0 1.0
Þ þ [Caps,] 1.0 0.0 1.0
